gender,orthography,phonology,film_frequency,book_frequency,CVCV_structure,Class
m,dressage,dREsaZ,0.58,1.76,CCVCCVCV,NOM
m,dressant,dREs@,0.0,0.07,CCVCCVCC,ADJ
m,dressement,dREs°m@,0.0,0.07,CCVCCVCVCC,NOM
,dresser,dRese,4.65,14.93,CCVCCVC,VER
m,dresseur,dREs9R,0.5,0.34,CCVCCVVC,NOM
m,dressing,dResiG,0.28,0.0,CCVCCVCC,NOM
m,dressing-room,dResiGRum,0.01,0.0,CCVCCVCC-CVVC,NOM
m,dressoir,dREswaR,0.01,0.34,CCVCCVVC,NOM
m,dressé,dRese,0.83,3.92,CCVCCV,ADJ
m,dreyfusard,dREfyzaR,0.14,0.07,CCVVCVCVCC,NOM
m,dreyfusisme,dREfyzizm,0.0,0.07,CCVVCVCVCCV,NOM
m,dribble,dRibl,0.29,0.07,CCVCCCV,NOM
,dribbler,dRible,0.2,0.14,CCVCCCVC,VER
m,dribbleur,dRibl9R,0.0,0.14,CCVCCCVVC,NOM
,dribler,dRible,0.1,0.0,CCVCCVC,VER
m,drift,dRift,0.04,0.07,CCVCC,NOM
m,drifter,dRift9R,0.02,37.5,CCVCCVC,NOM
m,drill,dRil,0.01,0.07,CCVCC,NOM
m,drille,dRij,0.08,0.61,CCVCCV,NOM
,dring,dRiG,0.32,0.61,CCVCC,ONO
m,drink,dR5k,0.89,0.41,CCVCC,NOM
f,drisse,dRis,0.06,0.47,CCVCCV,NOM
m,drive,dRajv,1.41,0.41,CCVCV,NOM
m,drive-in,dRajvin,0.94,0.0,CCVCV-VC,NOM
m,driver,dRajv9R,0.25,0.27,CCVCVC,NOM
,driver,dRajve,0.23,0.2,CCVCVC,VER
m,drogman,dROgman,0.0,0.2,CCVCCVC,NOM
f,drogue,dROg,47.2,10.54,CCVCVV,NOM
,droguer,dRoge,2.44,0.74,CCVCVVC,VER
f,droguerie,dROg°Ri,0.28,0.47,CCVCVVCVV,NOM
m,droguet,dRogE,0.0,0.95,CCVCVVC,NOM
,droguiste,dRogist,0.16,0.41,CCVCVVCCV,NOM
m,drogué,dRoge,0.78,0.41,CCVCVV,ADJ
m,drogué,dRoge,2.63,0.68,CCVCVV,NOM
m,droit,dRwa,38.33,74.26,CCVVC,ADJ
,droit,dRwa,31.48,31.89,CCVVC,ADV
m,droit,dRwa,175.6,138.72,CCVVC,NOM
m,droit-fil,dRwafil,0.0,0.07,CCVVC-CVC,NOM
f,droite,dRwat,58.44,116.69,CCVVCV,NOM
,droitement,dRwat°m@,0.01,0.07,CCVVCVCVCC,ADV
m,droitier,dRwatje,0.69,0.0,CCVVCVVC,ADJ
m,droitier,dRwatje,0.21,0.07,CCVVCVVC,NOM
f,droiture,dRwatyR,1.33,1.76,CCVVCVCV,NOM
,drolatique,dRolatik,0.54,0.34,CCVCVCVCVV,ADJ
m,dromadaire,dRomadER,0.44,0.68,CCVCVCVVCV,NOM
f,drome,dRom,0.01,0.07,CCVCV,NOM
m,drone,dRon,0.88,0.0,CCVCV,NOM
m,drone-espion,dRonEspj§,0.02,0.0,CCVCV-VCCVVC,NOM
m,dronte,dR§t,0.01,0.07,CCVCCV,NOM
m,drop,dROp,1.11,0.0,CCVC,NOM
m,droppage,dRopaZ,0.04,0.0,CCVCCVCV,NOM
f,drosophile,dRozofil,0.06,0.0,CCVCVCCVCV,NOM
m,dross,dROs,0.0,0.07,CCVCC,NOM
m,drossart,dRosaR,0.0,0.07,CCVCCVCC,NOM
,drosser,dRose,0.0,0.07,CCVCCVC,VER
m,droséra,dRozeRa,0.01,0.0,CCVCVCV,NOM
m,dru,dRy,0.13,2.84,CCV,ADJ
,dru,dRy,0.11,1.22,CCV,ADV
m,drugstore,dR9gstOR,1.58,1.82,CCVCCCVCV,NOM
m,druide,dR8id,0.89,2.84,CCVVCV,NOM
f,druidesse,dR8idEs,0.02,0.14,CCVVCVCCV,NOM
,druidique,dR8idik,0.19,0.54,CCVVCVCVV,ADJ
m,druidisme,dR8idizm,0.0,0.54,CCVVCVCCV,NOM
m,drumlin,dR9mlin,0.11,0.0,CCVCCVC,NOM
m,drummer,dR9m9R,0.17,0.07,CCVCCVC,NOM
m,drums,dR9m,0.04,0.07,CCVCC,NOM
,druze,dRyz,0.4,0.54,CCVCV,ADJ
m,dry,dRaj,1.02,1.22,CCV,ADJ
f,dryade,dRijad,0.0,0.07,CCVVCV,NOM
f,drège,dREZ,0.01,0.0,CCVCV,NOM
f,drépanocytose,dRepanOsitoz,0.01,0.0,CCVCVCVCVCVCV,NOM
,drôle,dRol,138.46,85.47,CCVCV,ADJ
,drôle,dRol,13.59,14.46,CCVCV,NOM
,drôlement,dRol°m@,10.79,24.86,CCVCVCVCC,ADV
f,drôlerie,dRol°Ri,0.14,3.45,CCVCVCVV,NOM
f,drôlesse,dRolEs,0.21,0.07,CCVCVCCV,NOM
m,drôlet,dRolE,0.01,0.07,CCVCVC,ADJ
m,drôlet,dRolE,0.0,0.07,CCVCVC,NOM
m,du,dy,4394.7,6882.16,CV,ART:def
m,dual,d8al,0.07,0.0,CVVC,ADJ
m,dualisme,d8alizm,0.02,0.34,CVVCVCCV,NOM
m,dualiste,d8alist,0.01,0.0,CVVCVCCV,ADJ
f,dualité,d8alite,0.33,0.68,CVVCVCV,NOM
m,dubitatif,dybitatif,0.07,1.15,CVCVCVCVC,ADJ
f,dubitation,dybitasj§,0.0,0.07,CVCVCVCVVC,NOM
,dubitativement,dybitativ°m@,0.0,0.14,CVCVCVCVCVCVCC,ADV
m,duc,dyk,7.66,14.8,CVC,NOM
m,ducal,dykal,0.02,0.54,CVCVC,ADJ
f,ducasse,dykas,0.01,0.2,CVCVCCV,NOM
m,ducat,dyka,0.2,0.07,CVCVC,NOM
m,ducaton,dykat§,0.0,0.14,CVCVCVC,NOM
m,duce,dutSe,2.21,2.91,CVCV,NOM
,duchnoque,dySnOk,0.02,0.07,CVCCCVCVV,NOM
m,duché,dySe,0.06,0.14,CVCCV,NOM
m,ducon,dyk§,6.86,1.01,CVCVC,NOM
,ductile,dyktil,0.01,0.27,CVCCVCV,ADJ
,dudit,dydit,0.16,1.08,CVCVC,PRE
m,duel,d8El,6.17,4.93,CVVC,NOM
,duelliste,d8Elist,0.2,0.0,CVVCCVCCV,NOM
m,duffel-coat,d9f9lkOwt,0.01,0.07,CVCCVC-CVVC,NOM
m,duffle-coat,d9f9lkOwt,0.0,0.27,CVCCCV-CVVC,NOM
m,dugong,dyg§,0.01,0.2,CVCVCC,NOM
m,duit,d8i,0.0,0.07,CVVC,NOM
f,dulcinée,dylsine,0.42,0.47,CVCCVCVV,NOM
,dum-dum,dumdum,0.2,0.27,CVC-CVC,ADJ
m,dumper,d9mp9R,0.01,0.0,CVCCVC,NOM
m,dumping,d9mpiG,0.0,0.07,CVCCVCC,NOM
m,dundee,d9ndi,0.0,0.07,CVCCVV,NOM
f,dune,dyn,1.55,3.45,CVCV,NOM
f,dunette,dynEt,0.07,0.61,CVCVCCV,NOM
m,dunkerque,d1kERk,0.0,0.14,CVCCVCCVV,NOM
m,duo,d8o,2.49,2.09,CVV,NOM
m,duodi,d8odi,0.0,0.07,CVVCV,NOM
m,duodénal,d8odenal,0.01,0.0,CVVCVCVC,ADJ
m,duodénum,d8odenOm,0.17,0.27,CVVCVCVC,NOM
m,duopole,d8OpOl,0.01,0.0,CVVCVCV,NOM
m,dupe,dyp,2.37,7.36,CVCV,ADJ
f,dupe,dyp,0.35,0.88,CVCV,NOM
,duper,dype,1.96,1.35,CVCVC,VER
f,duperie,dyp°Ri,0.26,0.81,CVCVCVV,NOM
m,dupeur,dyp9R,0.01,0.0,CVCVVC,NOM
m,duplex,dyplEks,0.01,0.14,CVCCVC,ADJ
m,duplex,dyplEks,0.41,1.35,CVCCVC,NOM
m,duplicata,dyplikata,0.08,0.41,CVCCVCVCV,NOM
m,duplicate,dyplikat,0.03,0.0,CVCCVCVCV,NOM
m,duplicateur,dyplikat9R,0.03,0.14,CVCCVCVCVVC,NOM
f,duplication,dyplikasj§,0.19,0.47,CVCCVCVCVVC,NOM
f,duplice,dyplis,0.01,0.14,CVCCVCV,NOM
f,duplicité,dyplisite,0.3,1.28,CVCCVCVCV,NOM
,dupliquer,dyplike,0.13,0.0,CVCCVCVVC,VER
,duquel,dykEl,0.44,7.64,CVCVVC,PRO:int
m,duquel,dykEl,1.92,22.57,CVCVVC,PRO:rel
m,dur,dyR,145.55,80.68,CVC,ADJ
,dur,dyR,1.31,0.54,CVC,ADV
m,dur,dyR,16.2,13.99,CVC,NOM
f,durabilité,dyRabilite,0.01,0.0,CVCVCVCVCV,NOM
,durable,dyRabl,1.61,4.73,CVCVCCV,ADJ
,durablement,dyRabl°m@,0.0,0.74,CVCVCCVCVCC,ADV
,duraille,dyRaj,0.0,2.36,CVCVVCCV,ADJ
m,duralumin,dyRalym5,0.0,0.27,CVCVCVCVC,NOM
m,durant,dyR@,0.02,0.0,CVCVCC,NOM
,durant,dyR@,34.15,65.95,CVCVCC,PRE
m,durci,dyRsi,0.16,1.55,CVCCV,ADJ
,durcir,dyRsiR,0.73,2.23,CVCCVC,VER
m,durcissement,dyRsis°m@,0.01,0.74,CVCCVCCVCVCC,NOM
m,durcisseur,dyRsis9R,0.03,0.0,CVCCVCCVVC,NOM
f,dure,dyR,3.33,5.41,CVCV,NOM
f,dure-mère,dyRmER,0.02,0.07,CVCV-CVCV,NOM
,durement,dyR°m@,3.27,12.97,CVCVCVCC,ADV
,durer,dyRe,20.59,24.05,CVCVC,VER
f,dureté,dyR°te,1.56,11.35,CVCVCV,NOM
m,durham,dyRam,0.09,0.0,CVCCVC,NOM
m,durian,dyRj@,2.21,0.0,CVCVVC,NOM
m,durillon,dyRij§,0.0,0.41,CVCVCCVC,NOM
f,durit,dyRit,0.04,0.0,CVCVC,NOM
f,durite,dyRit,0.47,0.07,CVCVCV,NOM
f,durée,dyRe,6.84,19.12,CVCVV,NOM
m,duvet,dyvE,1.58,7.57,CVCVC,NOM
m,duveteux,dyv°t2,0.05,0.74,CVCVCVVC,ADJ
m,duveté,dyv°te,0.0,0.14,CVCVCV,ADJ
f,duègne,d8EN,0.03,0.81,CVVCCV,NOM
m,dyke,dik,0.16,0.0,CVCV,NOM
,dynamique,dinamik,1.97,1.69,CVCVCVCVV,ADJ
f,dynamique,dinamik,1.19,0.61,CVCVCVCVV,NOM
,dynamiser,dinamize,0.02,0.0,CVCVCVCVC,VER
m,dynamisme,dinamizm,0.54,1.82,CVCVCVCCV,NOM
m,dynamitage,dinamitaZ,0.07,0.0,CVCVCVCVCV,NOM
f,dynamite,dinamit,8.12,2.5,CVCVCVCV,NOM
,dynamiter,dinamite,0.43,0.07,CVCVCVCVC,VER
m,dynamiteur,dinamit9R,0.04,0.14,CVCVCVCVVC,NOM
f,dynamo,dinamo,0.19,0.54,CVCVCV,NOM
m,dynamomètre,dinamomEtR,0.03,0.07,CVCVCVCVCCV,NOM
f,dynamométrique,dinamometRik,0.01,0.0,CVCVCVCVCCVCVV,ADJ
f,dynastie,dinasti,2.29,3.04,CVCVCCVV,NOM
f,dynastique,dinastik,0.01,0.07,CVCVCCVCVV,ADJ
f,dyscinésie,disinezi,0.01,0.0,CVCCVCVCVV,NOM
f,dyscrasie,diskRazi,0.01,0.0,CVCCCVCVV,NOM
f,dysenterie,dis@t°Ri,0.8,1.42,CVCVCCVCVV,NOM
,dysentérique,dis@teRik,0.0,0.07,CVCVCCVCVCVV,ADJ
f,dysfonction,disf§ksj§,0.09,0.0,CVCCVCCCVVC,NOM
m,dysfonctionnement,disf§ksjOn°m@,0.57,0.0,CVCCVCCCVVCCVCVCC,NOM
f,dyslexie,dislEksi,0.12,0.07,CVCCVCVV,NOM
m,dyslexique,dislEksik,0.46,0.07,CVCCVCVCVV,ADJ
,dyslexique,dislEksik,0.0,0.07,CVCCVCVCVV,NOM
f,dysménorrhée,dismenORe,0.01,0.0,CVCCVCVCCCVV,NOM
f,dyspepsie,dispEpsi,0.05,0.14,CVCCVCCVV,NOM
,dyspepsique,dispEpsik,0.01,0.07,CVCCVCCVCVV,ADJ
,dyspeptique,dispEptik,0.02,0.07,CVCCVCCVCVV,ADJ
f,dysphonie,disfOni,0.01,0.0,CVCCCVCVV,NOM
f,dysphorie,disfoRi,0.02,0.0,CVCCCVCVV,NOM
f,dysplasie,displazi,0.06,0.07,CVCCCVCVV,NOM
f,dyspnée,dispne,0.05,0.0,CVCCCVV,NOM
f,dyspnéique,dispneik,0.0,0.07,CVCCCVVCVV,ADJ
f,dysthymie,distimi,0.1,0.07,CVCCCVCVV,NOM
f,dystocie,distOsi,0.03,0.0,CVCCVCVV,NOM
f,dystrophie,distROfi,0.05,0.0,CVCCCVCCVV,NOM
f,dysurie,dizyRi,0.01,0.0,CVCVCVV,NOM
m,dytique,ditik,0.0,0.07,CVCVCVV,NOM
f,dèche,dES,0.38,1.89,CVCCV,NOM
,dès,dE,143.72,275.07,CVC,PRE
m,dé,de,5.74,3.65,CV,NOM
m,déambulant,de@byl@,0.01,0.0,CVVCCVCVCC,ADJ
m,déambulateur,de@bylat9R,0.01,0.0,CVVCCVCVCVVC,ADJ
m,déambulateur,de@bylat9R,0.13,0.0,CVVCCVCVCVVC,NOM
f,déambulation,de@bylasj§,0.01,0.54,CVVCCVCVCVVC,NOM
m,déambulatoire,de@bylatwaR,0.0,0.07,CVVCCVCVCVVCV,ADJ
m,déambulatoire,de@bylatwaR,0.0,0.07,CVVCCVCVCVVCV,NOM
,déambuler,de@byle,0.29,1.55,CVVCCVCVC,VER
m,débagoulage,debagulaZ,0.0,0.07,CVCVCVVCVCV,NOM
,débagouler,debagule,0.01,0.2,CVCVCVVCVC,VER
m,déballage,debalaZ,0.3,1.62,CVCVCCVCV,NOM
,déballer,debale,1.63,1.49,CVCVCCVC,VER
m,déballonnage,debalonaZ,0.0,0.07,CVCVCCVCCVCV,NOM
,déballonner,debalone,0.0,0.41,CVCVCCVCCVC,VER
f,débandade,deb@dad,0.58,3.51,CVCVCCVCV,NOM
,débander,deb@de,0.28,0.95,CVCVCCVC,VER
,débaptiser,debatize,0.0,0.07,CVCVCCVCVC,VER
m,débarbot,debaRbo,0.0,0.14,CVCVCCVC,NOM
,débarbouiller,debaRbuje,0.37,1.42,CVCVCCVVVCCVC,VER
f,débarbouillette,debaRbujEt,0.02,0.0,CVCVCCVVVCCVCCV,NOM
m,débarcadère,debaRkadER,0.43,1.55,CVCVCCVCVCV,NOM
m,débardage,debaRdaZ,0.0,0.14,CVCVCCVCV,NOM
,débarder,debaRde,0.0,0.14,CVCVCCVC,VER
m,débardeur,debaRd9R,0.69,0.68,CVCVCCVVC,NOM
m,débarquement,debaRk°m@,2.74,14.12,CVCVCCVVCVCC,NOM
,débarquer,debaRke,5.9,7.36,CVCVCCVVC,VER
m,débarqué,debaRke,0.03,0.47,CVCVCCVV,ADJ
m,débarras,debaRa,2.79,6.96,CVCVCCVC,NOM
,débarrasser,debaRase,32.37,23.58,CVCVCCVCCVC,VER
,débarrer,debaRe,0.0,0.07,CVCVCCVC,VER
m,débat,deba,7.77,9.46,CVCVC,NOM
m,débatteur,debat9R,0.0,0.07,CVCVCCVVC,NOM
,débattre,debatR,2.64,5.27,CVCVCCCV,VER
f,débattue,debaty,0.01,0.0,CVCVCCVV,NOM
f,débauche,deboS,2.72,7.16,CVCVVCCV,NOM
,débaucher,deboSe,0.19,0.61,CVCVVCCVC,VER
m,débaucheur,deboS9R,0.01,0.0,CVCVVCCVVC,NOM
m,débauché,deboSe,0.06,0.41,CVCVVCCV,ADJ
m,débauché,deboSe,0.62,0.74,CVCVVCCV,NOM
m,débectage,debEktaZ,0.0,0.07,CVCVCCVCV,NOM
f,débectance,debEkt@s,0.0,0.2,CVCVCCVCCV,NOM
,débecter,debEkte,0.01,0.0,CVCVCCVC,VER
,débile,debil,17.8,3.11,CVCVCV,ADJ
,débile,debil,8.32,1.35,CVCVCV,NOM
,débilement,debil°m@,0.02,0.0,CVCVCVCVCC,ADV
m,débilitant,debilit@,0.04,0.14,CVCVCVCVCC,ADJ
f,débilitation,debilitasj§,0.0,0.14,CVCVCVCVCVVC,NOM
f,débilité,debilite,0.27,0.74,CVCVCVCV,NOM
,débiller,debije,0.0,0.07,CVCVCCVC,VER
f,débine,debin,0.02,0.88,CVCVCV,NOM
,débiner,debine,0.27,1.35,CVCVCVC,VER
m,débit,debi,1.1,5.27,CVCVC,NOM
m,débitage,debitaZ,0.0,0.07,CVCVCVCV,NOM
m,débitant,debit@,0.0,0.2,CVCVCVCC,NOM
f,débite,debit,0.01,0.07,CVCVCV,NOM
,débiter,debite,0.82,3.45,CVCVCVC,VER
m,débiteur,debit9R,0.2,0.14,CVCVCVVC,ADJ
m,débiteur,debit9R,0.75,0.27,CVCVCVVC,NOM
m,déblai,deblE,0.0,0.47,CVCCVV,NOM
m,déblaiement,deblEm@,0.14,0.74,CVCCVVVCVCC,NOM
,déblatérer,deblateRe,0.2,0.2,CVCCVCVCVC,VER
m,déblayage,deblEjaZ,0.09,0.14,CVCCVVVCV,NOM
,déblayer,debleje,0.45,1.55,CVCCVVVC,VER
m,déblayeur,deblEj9R,0.01,0.0,CVCCVVVVC,ADJ
m,déblocage,deblokaZ,0.05,0.2,CVCCVCVCV,NOM
,débloquer,debloke,0.77,1.55,CVCCVCVVC,VER
m,débobinage,debobinaZ,0.0,0.07,CVCVCVCVCV,NOM
,débobiner,debobine,0.0,0.07,CVCVCVCVC,VER
m,débogage,debOgaZ,0.01,0.0,CVCVCVCV,NOM
,déboguer,deboge,0.04,0.0,CVCVCVVC,VER
m,déboire,debwaR,0.0,0.2,CVCVVCV,NOM
m,déboisement,debwaz°m@,0.01,0.0,CVCVVCVCVCC,NOM
,déboiser,debwaze,0.01,0.07,CVCVVCVC,VER
,débonder,deb§de,0.0,0.07,CVCVCCVC,VER
,débonnaire,debonER,0.06,2.64,CVCVCCVVCV,ADJ
m,débord,debOR,0.0,0.14,CVCVCC,NOM
m,débordant,debORd@,0.12,1.35,CVCVCCVCC,ADJ
m,débordement,debORd°m@,0.62,2.09,CVCVCCVCVCC,NOM
,déborder,debORde,1.78,3.92,CVCVCCVC,VER
m,débotté,debote,0.16,0.07,CVCVCCV,NOM
m,débouchage,debuSaZ,0.01,0.0,CVCVVCCVCV,NOM
,déboucher,debuSe,0.78,6.22,CVCVVCCVC,VER
m,déboucheur,debuS9R,0.07,0.14,CVCVVCCVVC,NOM
m,débouchoir,debuSwaR,0.01,0.0,CVCVVCCVVC,NOM
m,débouché,debuSe,0.02,2.5,CVCVVCCV,NOM
,déboucler,debukle,0.0,0.68,CVCVVCCVC,VER
,débouler,debule,0.35,1.01,CVCVVCVC,VER
,déboulonner,debulone,0.0,0.27,CVCVVCVCCVC,VER
m,déboulé,debule,0.0,0.34,CVCVVCV,NOM
m,débourrage,debuRaZ,0.0,0.07,CVCVVCCVCV,NOM
,débourrer,debuRe,0.02,0.27,CVCVVCCVC,VER
m,débours,debuR,0.01,0.2,CVCVVCC,NOM
m,déboursement,debuRs2m@,0.01,0.0,CVCVVCCVCVCC,NOM
,débourser,debuRse,0.66,0.2,CVCVVCCVC,VER
,déboussoler,debusole,0.01,0.07,CVCVVCCVCVC,VER
,débouter,debute,0.05,0.07,CVCVVCVC,VER
m,déboutonnage,debutonaZ,0.27,0.07,CVCVVCVCCVCV,NOM
,déboutonner,debutone,0.31,1.42,CVCVVCVCCVC,VER
m,déboîtement,debwat°m@,0.01,0.0,CVCVVCVCVCC,NOM
,déboîter,debwate,0.22,0.2,CVCVVCVC,VER
,débraguetter,debRagEte,0.0,0.14,CVCCVCVVCCVC,VER
m,débraillé,debRaje,0.18,0.68,CVCCVVCCV,ADJ
m,débraillé,debRaje,0.26,1.35,CVCCVVCCV,NOM
m,débranchement,debR@S°m@,0.02,0.0,CVCCVCCCVCVCC,NOM
,débrancher,debR@Se,2.27,0.81,CVCCVCCCVC,VER
m,débrayage,debREjaZ,0.04,0.41,CVCCVVVCV,NOM
,débrayer,debReje,0.01,0.47,CVCCVVVC,VER
m,débridement,debRid°m@,0.04,0.0,CVCCVCVCVCC,NOM
,débrider,debRide,0.04,0.74,CVCCVCVC,VER
m,débridé,debRide,0.02,0.14,CVCCVCV,ADJ
,débriefer,debRife,0.11,0.0,CVCCVVCVC,VER
m,débriefing,debRifiG,0.58,0.0,CVCCVVCVCC,NOM
m,débris,debRi,4.94,13.85,CVCCVC,NOM
,débronzer,debR§ze,0.02,0.0,CVCCVCCVC,VER
m,débrouillage,debRujaZ,0.0,0.14,CVCCVVVCCVCV,NOM
m,débrouillard,debRujaR,0.38,0.74,CVCCVVVCCVCC,ADJ
m,débrouillard,debRujaR,0.33,0.34,CVCCVVVCCVCC,NOM
f,débrouillardise,debRujaRdiz,0.0,0.34,CVCCVVVCCVCCVCV,NOM
f,débrouille,debRuj,0.17,0.34,CVCCVVVCCV,NOM
,débrouiller,debRuje,12.71,5.68,CVCCVVVCCVC,VER
m,débroussaillage,debRusajaZ,0.01,0.14,CVCCVVCCVVCCVCV,NOM
,débroussailler,debRusaje,0.14,0.2,CVCCVVCCVVCCVC,VER
m,débucher,debySe,0.0,0.07,CVCVCCVC,NOM
,débusquer,debyske,0.89,1.49,CVCVCCVVC,VER
m,début,deby,109.88,128.51,CVCVC,NOM
m,débutant,debyt@,0.77,0.47,CVCVCVCC,ADJ
m,débutant,debyt@,2.32,1.08,CVCVCVCC,NOM
,débuter,debyte,1.72,0.88,CVCVCVC,VER
f,débâcle,debakl,0.76,6.49,CVCVCCV,NOM
m,déc,dek,0.03,0.0,CVC,ADJ
,déc,dek,0.3,0.0,CVC,NOM
m,déca,deka,1.16,0.07,CVCV,NOM
,décabosser,dekabOse,0.01,0.0,CVCVCVCCVC,VER
m,décachetage,dekaS°taZ,0.01,0.0,CVCVCCVCVCV,NOM
,décacheter,dekaS°te,0.0,0.34,CVCVCCVCVC,VER
f,décade,dekad,0.13,0.74,CVCVCV,NOM
f,décadence,dekad@s,1.28,4.73,CVCVCVCCV,NOM
m,décadent,dekad@,0.6,0.47,CVCVCVCC,ADJ
m,décadent,dekad@,0.01,0.14,CVCVCVCC,NOM
m,décadentisme,dekad@tizm,0.0,0.07,CVCVCVCCVCCV,NOM
m,décadi,dekadi,0.0,0.27,CVCVCV,NOM
m,décaféiné,dekafeine,0.08,0.07,CVCVCVVCV,ADJ
m,décaféiné,dekafeine,0.22,0.07,CVCVCVVCV,NOM
m,décaissement,dekEs°m@,0.01,0.0,CVCVVCCVCVCC,NOM
,décaisser,dekEse,0.0,0.14,CVCVVCCVC,VER
m,décalage,dekalaZ,2.04,3.65,CVCVCVCV,NOM
f,décalcification,dekalsifikasj§,0.01,0.0,CVCVCCVCVCVCVVC,NOM
f,décalcomanie,dekalkomani,0.17,0.41,CVCVCCVCVCVV,NOM
f,décalcomanies,dekalkomani,0.01,0.0,CVCVCCVCVCVVC,ADJ
,décaler,dekale,0.47,0.2,CVCVCVC,VER
m,décalitre,dekalitR,0.0,0.07,CVCVCVCCV,NOM
m,décalogue,dekalOg,0.01,0.2,CVCVCVCVV,NOM
,décalotter,dekalote,0.0,0.07,CVCVCVCCVC,VER
m,décalque,dekalk,0.0,0.27,CVCVCCVV,NOM
,décalquer,dekalke,0.06,0.14,CVCVCCVVC,VER
m,décalé,dekale,0.41,0.41,CVCVCV,ADJ
,décambuter,dek@byte,0.0,0.2,CVCVCCVCVC,VER
,décamper,dek@pe,0.81,0.95,CVCVCCVC,VER
m,décamètre,dekamEtR,0.0,0.14,CVCVCVCCV,NOM
m,décan,dek@,0.02,0.07,CVCVC,NOM
,décaniller,dekanije,0.0,0.27,CVCVCVCCVC,VER
f,décantation,dek@tasj§,0.1,0.07,CVCVCCVCVVC,NOM
,décanter,dek@te,0.17,0.14,CVCVCCVC,VER
m,décanteur,dek@t9R,0.01,0.0,CVCVCCVVC,NOM
m,décapage,dekapaZ,0.01,0.0,CVCVCVCV,NOM
m,décapant,dekap@,0.02,0.0,CVCVCVCC,ADJ
m,décapant,dekap@,0.27,0.2,CVCVCVCC,NOM
,décaper,dekape,0.07,0.34,CVCVCVC,VER
m,décapeur,dekap9R,0.0,0.07,CVCVCVVC,NOM
f,décapitation,dekapitasj§,0.43,0.47,CVCVCVCVCVVC,NOM
,décapiter,dekapite,1.09,0.88,CVCVCVCVC,VER
m,décapode,dekapOd,0.0,0.07,CVCVCVCV,NOM
,décapotable,dekapotabl,1.01,1.89,CVCVCVCVCCV,ADJ
f,décapotable,dekapotabl,1.65,0.81,CVCVCVCVCCV,NOM
m,décapotage,dekapotaZ,0.0,0.07,CVCVCVCVCV,NOM
,décapoter,dekapote,0.0,0.07,CVCVCVCVC,VER
m,décapoté,dekapOte,0.01,0.0,CVCVCVCV,ADJ
,décapsuler,dekapsyle,0.04,0.2,CVCVCCVCVC,VER
m,décapsuleur,dekapsyl9R,0.34,0.2,CVCVCCVCVVC,NOM
,décapuchonner,dekapySone,0.0,0.07,CVCVCVCCVCCVC,VER
,décarcasser,dekaRkase,0.05,0.07,CVCVCCVCCVC,VER
m,décarpillage,dekaRpijaZ,0.0,0.2,CVCVCCVCCVCV,NOM
,décarpiller,dekaRpije,0.0,0.07,CVCVCCVCCVC,VER
f,décarrade,dekaRad,0.0,2.43,CVCVCCVCV,NOM
,décarrer,dekaRe,0.28,1.35,CVCVCCVC,VER
m,décathlon,dekatl§,0.26,0.07,CVCVCCCVC,NOM
m,décati,dekati,0.04,0.2,CVCVCV,ADJ
,décatir,dekatiR,0.0,0.14,CVCVCVC,VER
m,décavé,dekave,0.11,0.27,CVCVCV,ADJ
m,décavé,dekave,0.0,0.07,CVCVCV,NOM
f,décelable,des°labl,0.04,0.2,CVCVCVCCV,ADJ
,déceler,dEs°le,0.87,6.01,CVCVCVC,VER
m,décembre,des@bR,8.55,31.15,CVCVCCCV,NOM
,décembriste,des@bRist,0.0,0.07,CVCVCCCVCCV,NOM
,décemment,desam@,0.96,2.57,CVCVCCVCC,ADV
f,décence,des@s,2.92,2.77,CVCVCCV,NOM
m,décennal,desenal,0.01,0.07,CVCVCCVC,ADJ
f,décennie,deseni,1.27,0.95,CVCVCCVV,NOM
m,décent,des@,2.67,1.89,CVCVCC,ADJ
f,décentralisation,des@tRalizasj§,0.0,0.07,CVCVCCCVCVCVCVVC,NOM
m,décentrement,des@tR2m@,0.01,0.0,CVCVCCCVCVCC,NOM
f,déception,desEpsj§,5.46,13.04,CVCVCCVVC,NOM
,décerner,desERne,0.45,0.88,CVCVCCVC,VER
m,décervelage,desERv°laZ,0.0,0.14,CVCVCCVCVCV,NOM
,décerveler,desERv2le,0.03,0.0,CVCVCCVCVC,VER
m,décevant,dEs°v@,1.36,2.23,CVCVCVCC,ADJ
,décevoir,dEs°vwaR,7.65,3.85,CVCVCVVC,VER
,déchanter,deS@te,0.02,0.61,CVCCVCCVC,VER
m,déchard,deSaR,0.0,0.2,CVCCVCC,NOM
f,décharge,deSaRZ,7.62,11.35,CVCCVCCV,NOM
m,déchargement,deSaRZ°m@,0.53,0.88,CVCCVCCVCVCC,NOM
,décharger,deSaRZe,3.88,4.32,CVCCVCCVC,VER
m,déchargeur,deSaRZ9R,0.03,0.07,CVCCVCCVVC,NOM
m,décharnement,deSaRn°m@,0.0,0.07,CVCCVCCVCVCC,NOM
,décharner,deSaRne,0.0,0.2,CVCCVCCVC,VER
m,décharné,deSaRne,0.1,2.57,CVCCVCCV,ADJ
,déchausser,deSose,0.21,0.68,CVCCVVCCVC,VER
m,déchaussé,deSose,0.02,0.27,CVCCVVCCV,ADJ
m,déchaînement,deSEn°m@,0.14,2.57,CVCCVVCVCVCC,NOM
,déchaîner,deSEne,1.32,2.36,CVCCVVCVC,VER
